G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
3	Thu, Nov 20, 2014	8:00 pm/est		REG		South Florida	AAC	L	71	73	OT	1	2	L 1		south-florida	alabama-birmingham	2015
4	Sun, Nov 23, 2014	3:00 pm/est		REG		Jackson State	SWAC	W	58	50		2	2	W 1		jackson-state	alabama-birmingham	2015
5	Wed, Nov 26, 2014	7:00 pm/est	AXS.tv	REG	N	Wisconsin (2)	Big Ten	L	43	72		2	3	L 1		wisconsin	alabama-birmingham	2015
6	Thu, Nov 27, 2014	9:30 pm/est	AXStv	REG	N	Florida (18)	SEC	L	47	56		2	4	L 2		florida	alabama-birmingham	2015
7	Fri, Nov 28, 2014	10:30 pm/est	AXStv	REG	N	UCLA (22)	Pac-12	L	76	88		2	5	L 3		ucla	alabama-birmingham	2015
8	Thu, Dec 4, 2014	8:00 pm/est	ASN, MASN	REG		Morehead State	OVC	W	58	48		3	5	W 1		morehead-state	alabama-birmingham	2015
9	Sun, Dec 7, 2014	3:00 pm/est	CSN-CHI, ASN	REG		Illinois State	MVC	L	74	78		3	6	L 1		illinois-state	alabama-birmingham	2015
10	Sun, Dec 14, 2014	8:00 pm/est	ASN, MASN	REG		North Carolina-Asheville	Big South	W	79	71		4	6	W 1		north-carolina-asheville	alabama-birmingham	2015
11	Thu, Dec 18, 2014	9:00 pm/est	CBSSN	REG		Louisiana State	SEC	L	70	79		4	7	L 1		louisiana-state	alabama-birmingham	2015
12	Mon, Dec 22, 2014	8:00 pm/est	FSN, ASN, MASN	REG	@	Chattanooga	Southern	L	67	83		4	8	L 2		chattanooga	alabama-birmingham	2015
13	Sat, Dec 27, 2014	4:00 pm/est	ESPN 2	REG	@	North Carolina (20)	ACC	L	58	89		4	9	L 3		north-carolina	alabama-birmingham	2015
14	Sun, Jan 4, 2015	3:00 pm/est		REG	@	Middle Tennessee	CUSA	W	54	49		5	9	W 1		middle-tennessee	alabama-birmingham	2015
15	Thu, Jan 8, 2015	8:00 pm/est		REG		Florida Atlantic	CUSA	W	66	57		6	9	W 2		florida-atlantic	alabama-birmingham	2015
16	Sat, Jan 10, 2015	3:00 pm/est		REG		Florida International	CUSA	W	70	53		7	9	W 3		florida-international	alabama-birmingham	2015
17	Thu, Jan 15, 2015	8:00 pm/est	ASN, MASN	REG	@	Louisiana Tech	CUSA	L	71	74		7	10	L 1		louisiana-tech	alabama-birmingham	2015
18	Sat, Jan 17, 2015	8:00 pm/est		REG	@	Southern Mississippi	CUSA	W	63	56		8	10	W 1		southern-mississippi	alabama-birmingham	2015
19	Thu, Jan 22, 2015	8:00 pm/est		REG		Charlotte	CUSA	W	81	76	OT	9	10	W 2		charlotte	alabama-birmingham	2015
20	Sat, Jan 24, 2015	5:30 pm/est	ASN, MASN, Alt, CSN-CHI+	REG		Old Dominion	CUSA	W	81	68		10	10	W 3		old-dominion	alabama-birmingham	2015
21	Thu, Jan 29, 2015	9:00 pm/est	CBSSN	REG	@	Texas-El Paso	CUSA	L	69	71		10	11	L 1		texas-el-paso	alabama-birmingham	2015
22	Sat, Jan 31, 2015	3:00 pm/est		REG	@	Texas-San Antonio	CUSA	W	65	57		11	11	W 1		texas-san-antonio	alabama-birmingham	2015
23	Thu, Feb 5, 2015	9:00 pm/est	CBSSN	REG		Louisiana Tech	CUSA	W	80	60		12	11	W 2		louisiana-tech	alabama-birmingham	2015
24	Sat, Feb 7, 2015	3:00 pm/est		REG		Southern Mississippi	CUSA	W	78	68		13	11	W 3		southern-mississippi	alabama-birmingham	2015
25	Thu, Feb 12, 2015	8:00 pm/est		REG	@	North Texas	CUSA	L	64	67		13	12	L 1		north-texas	alabama-birmingham	2015
26	Sat, Feb 14, 2015	8:00 pm/est		REG	@	Rice	CUSA	L	73	82	2OT	13	13	L 2		rice	alabama-birmingham	2015
27	Thu, Feb 19, 2015	8:00 pm/est		REG		Western Kentucky	CUSA	W	71	66		14	13	W 1		western-kentucky	alabama-birmingham	2015
28	Sat, Feb 21, 2015	8:00 pm/est		REG		Marshall	CUSA	W	72	54		15	13	W 2		marshall	alabama-birmingham	2015
29	Sat, Feb 28, 2015	3:00 pm/est	ASN	REG		Middle Tennessee	CUSA	W	100	95	3OT	16	13	W 3		middle-tennessee	alabama-birmingham	2015
30	Thu, Mar 5, 2015	7:00 pm/est		REG	@	Florida Atlantic	CUSA	L	59	62		16	14	L 1		florida-atlantic	alabama-birmingham	2015
31	Sat, Mar 7, 2015	8:00 pm/est	ASN	REG	@	Florida International	CUSA	L	66	70		16	15	L 2		florida-international	alabama-birmingham	2015
32	Thu, Mar 12, 2015	7:00 pm/est	American Sports Network	CTOURN	N	Western Kentucky	CUSA	W	53	52		17	15	W 1		western-kentucky	alabama-birmingham	2015
33	Fri, Mar 13, 2015	6:30 pm/est	CBSSN	CTOURN	N	Louisiana Tech	CUSA	W	72	62	OT	18	15	W 2		louisiana-tech	alabama-birmingham	2015
34	Sat, Mar 14, 2015	3:30 pm/est	FS1	CTOURN	N	Middle Tennessee	CUSA	W	73	60		19	15	W 3		middle-tennessee	alabama-birmingham	2015
35	Thu, Mar 19, 2015	12:40 pm/est	truTV	NCAA	N	Iowa State (9)	Big 12	W	60	59		20	15	W 4		iowa-state	alabama-birmingham	2015
36	Sat, Mar 21, 2015	12:10 pm/est	CBS	NCAA	N	UCLA	Pac-12	L	75	92		20	16	L 1		ucla	alabama-birmingham	2015
1	Sat, Nov 15, 2014	7:00 pm/est	FS2	REG	@	Providence	Big East	L	60	64		0	1	L 1		providence	albany-ny	2015
2	Wed, Nov 19, 2014	7:00 pm/est		REG		NJIT	Ind	W	65	48		1	1	W 1		njit	albany-ny	2015
3	Sat, Nov 22, 2014	7:00 pm/est		REG		Quinnipiac	MAAC	L	73	76	OT	1	2	L 1		quinnipiac	albany-ny	2015
4	Wed, Nov 26, 2014	7:00 pm/est	Patriot League Network	REG	@	Colgate	Patriot	W	75	71		2	2	W 1		colgate	albany-ny	2015
5	Sat, Nov 29, 2014	6:30 pm/est	Mountain West Network	REG	@	Nevada-Las Vegas	MWC	L	59	75		2	3	L 1		nevada-las-vegas	albany-ny	2015
6	Wed, Dec 3, 2014	7:00 pm/est		REG		Holy Cross	Patriot	L	57	74		2	4	L 2		holy-cross	albany-ny	2015
7	Sat, Dec 6, 2014	2:00 pm/est		REG	@	Saint Francis (PA)	NEC	L	59	69		2	5	L 3		saint-francis-pa	albany-ny	2015
8	Mon, Dec 8, 2014	7:00 pm/est	Patriot League Network	REG	@	Bucknell	Patriot	L	58	61		2	6	L 4		bucknell	albany-ny	2015
9	Sat, Dec 13, 2014	7:45 pm/est		REG	@	Siena	MAAC	W	77	68		3	6	W 1		siena	albany-ny	2015
10	Sat, Dec 20, 2014	2:00 pm/est		REG	@	Yale	Ivy	W	64	60		4	6	W 2		yale	albany-ny	2015
11	Mon, Dec 22, 2014	7:00 pm/est		REG		Fairfield	MAAC	W	77	66		5	6	W 3		fairfield	albany-ny	2015
12	Tue, Dec 30, 2014	7:25 pm/est	TWC Sports	REG	@	Niagara	MAAC	L	47	65		5	7	L 1		niagara	albany-ny	2015
13	Sat, Jan 3, 2015	7:00 pm/est		REG		Maine	AEC	W	80	56		6	7	W 1		maine	albany-ny	2015
14	Tue, Jan 6, 2015	7:00 pm/est		REG	@	New Hampshire	AEC	W	64	62		7	7	W 2		new-hampshire	albany-ny	2015
15	Sat, Jan 10, 2015	2:00 pm/est		REG	@	Massachusetts-Lowell	AEC	W	64	51		8	7	W 3		massachusetts-lowell	albany-ny	2015
16	Wed, Jan 14, 2015	7:00 pm/est	ESPN3.com	REG		Binghamton	AEC	W	73	58		9	7	W 4		binghamton	albany-ny	2015
17	Mon, Jan 19, 2015	7:00 pm/est	ESPN3.com	REG	@	Stony Brook	AEC	W	64	47		10	7	W 5		stony-brook	albany-ny	2015
18	Thu, Jan 22, 2015	7:00 pm/est	ESPN3.com	REG	@	Hartford	AEC	W	62	53		11	7	W 6		hartford	albany-ny	2015
19	Sun, Jan 25, 2015	4:40 pm/est		REG		Maryland-Baltimore County	AEC	W	69	55		12	7	W 7		maryland-baltimore-county	albany-ny	2015
20	Wed, Jan 28, 2015	7:00 pm/est		REG	@	Vermont	AEC	W	47	44		13	7	W 8		vermont	albany-ny	2015
21	Sat, Jan 31, 2015	2:00 pm/est		REG	@	Maine	AEC	W	77	59		14	7	W 9		maine	albany-ny	2015
22	Wed, Feb 4, 2015	7:00 pm/est	ESPN3.com	REG		New Hampshire	AEC	W	63	62		15	7	W 10		new-hampshire	albany-ny	2015
23	Sat, Feb 7, 2015	7:30 pm/est		REG		Massachusetts-Lowell	AEC	W	69	59		16	7	W 11		massachusetts-lowell	albany-ny	2015
24	Tue, Feb 10, 2015	7:00 pm/est		REG	@	Binghamton	AEC	W	62	46		17	7	W 12		binghamton	albany-ny	2015
25	Fri, Feb 13, 2015	7:00 pm/est		REG	@	NJIT	Ind	W	65	59		18	7	W 13		njit	albany-ny	2015
26	Tue, Feb 17, 2015	7:00 pm/est	ESPN3.com	REG		Stony Brook	AEC	L	56	59		18	8	L 1		stony-brook	albany-ny	2015
27	Fri, Feb 20, 2015	7:00 pm/est	ESPN U	REG		Hartford	AEC	W	70	64		19	8	W 1		hartford	albany-ny	2015
28	Wed, Feb 25, 2015	7:00 pm/est		REG	@	Maryland-Baltimore County	AEC	W	67	49		20	8	W 2		maryland-baltimore-county	albany-ny	2015
29	Sat, Feb 28, 2015	2:00 pm/est	ESPN3.com	REG		Vermont	AEC	W	79	73		21	8	W 3		vermont	albany-ny	2015
30	Wed, Mar 4, 2015	7:00 pm/est	americaeast.TV	CTOURN		Maine	AEC	W	83	66		22	8	W 4		maine	albany-ny	2015
31	Sun, Mar 8, 2015	2:00 pm/est	ESPN3.com	CTOURN		New Hampshire	AEC	W	60	58		23	8	W 5		new-hampshire	albany-ny	2015
32	Sat, Mar 14, 2015	11:00 am/est	ESPN 2	CTOURN		Stony Brook	AEC	W	51	50		24	8	W 6		stony-brook	albany-ny	2015
33	Fri, Mar 20, 2015	8:17 pm/est	truTV	NCAA	N	Oklahoma (13)	Big 12	L	60	69		24	9	L 1		oklahoma	albany-ny	2015
1	Fri, Nov 14, 2014	10:00 pm/est	Pac-12 Network	REG	@	University of California	Pac-12	L	57	91		0	1	L 1		california	alcorn-state	2015
2	Sun, Nov 16, 2014	8:00 pm/est	ESPN U	REG	@	Texas (10)	Big 12	L	53	85		0	2	L 2		texas	alcorn-state	2015
3	Fri, Nov 21, 2014	5:30 pm/est		REG	N	Hampton	MEAC	L	69	82		0	3	L 3		hampton	alcorn-state	2015
4	Sat, Nov 22, 2014	5:30 pm/est		REG	N	Kennesaw State	A-Sun	L	80	83		0	4	L 4		kennesaw-state	alcorn-state	2015
5	Mon, Nov 24, 2014	4:00 pm/est		REG		Dillard		W	95	73		1	4	W 1		NA	alcorn-state	2015
6	Tue, Dec 2, 2014	8:00 pm/est		REG	@	Troy	Sun Belt	L	51	72		1	5	L 1		troy	alcorn-state	2015
7	Tue, Dec 9, 2014	9:00 pm/est	ESPNews	REG	@	Iowa	Big Ten	L	44	67		1	6	L 2		iowa	alcorn-state	2015
8	Sat, Dec 13, 2014	2:00 pm/est		REG	@	Ohio	MAC	L	55	66		1	7	L 3		ohio	alcorn-state	2015
9	Wed, Dec 17, 2014	8:00 pm/est		REG	@	Murray State	OVC	L	56	94		1	8	L 4		murray-state	alcorn-state	2015
10	Sun, Dec 21, 2014	9:20 pm/est		REG	@	Texas-El Paso	CUSA	L	45	78		1	9	L 5		texas-el-paso	alcorn-state	2015
11	Mon, Dec 22, 2014	7:00 pm/est		REG	N	North Dakota State	Summit	L	50	61		1	10	L 6		north-dakota-state	alcorn-state	2015
12	Tue, Dec 30, 2014	4:00 pm/est		REG		Concordia (AL)		L	70	79		1	11	L 7		NA	alcorn-state	2015
13	Sat, Jan 3, 2015	6:00 pm/est		REG		Texas Southern	SWAC	L	55	72		1	12	L 8		texas-southern	alcorn-state	2015
14	Mon, Jan 5, 2015	9:00 pm/est		REG		Prairie View	SWAC	W	68	62		2	12	W 1		prairie-view	alcorn-state	2015
15	Sat, Jan 10, 2015	6:40 pm/est		REG	@	Jackson State	SWAC	L	54	64		2	13	L 1		jackson-state	alcorn-state	2015
16	Mon, Jan 12, 2015	9:00 pm/est		REG	@	Grambling	SWAC	W	72	70		3	13	W 1		grambling	alcorn-state	2015
17	Sat, Jan 17, 2015	6:00 pm/est		REG		Mississippi Valley State	SWAC	W	87	67		4	13	W 2		mississippi-valley-state	alcorn-state	2015
18	Mon, Jan 19, 2015	8:50 pm/est		REG		Arkansas-Pine Bluff	SWAC	L	49	54		4	14	L 1		arkansas-pine-bluff	alcorn-state	2015
19	Sat, Jan 24, 2015	6:00 pm/est		REG	@	Alabama State	SWAC	L	60	84		4	15	L 2		alabama-state	alcorn-state	2015
20	Mon, Jan 26, 2015	8:30 pm/est		REG	@	Alabama A&M	SWAC	L	66	78		4	16	L 3		alabama-am	alcorn-state	2015
21	Sat, Jan 31, 2015	4:00 pm/est		REG		Southern	SWAC	L	56	65		4	17	L 4		southern	alcorn-state	2015
22	Sat, Feb 7, 2015	6:00 pm/est		REG		Jackson State	SWAC	L	61	64		4	18	L 5		jackson-state	alcorn-state	2015
23	Mon, Feb 9, 2015	8:30 pm/est		REG		Grambling	SWAC	W	91	77		5	18	W 1		grambling	alcorn-state	2015
24	Sat, Feb 14, 2015	5:30 pm/est		REG	@	Mississippi Valley State	SWAC	L	60	76		5	19	L 1		mississippi-valley-state	alcorn-state	2015
25	Tue, Feb 17, 2015	9:00 pm/est		REG	@	Arkansas-Pine Bluff	SWAC	L	70	74		5	20	L 2		arkansas-pine-bluff	alcorn-state	2015
26	Sat, Feb 21, 2015	7:15 pm/est		REG		Alabama State	SWAC	L	67	71		5	21	L 3		alabama-state	alcorn-state	2015
27	Mon, Feb 23, 2015	8:30 pm/est		REG		Alabama A&M	SWAC	L	69	73		5	22	L 4		alabama-am	alcorn-state	2015
28	Sat, Feb 28, 2015	6:30 pm/est		REG	@	Southern	SWAC	L	63	71		5	23	L 5		southern	alcorn-state	2015
29	Thu, Mar 5, 2015	8:30 pm/est		REG	@	Texas Southern	SWAC	L	73	94		5	24	L 6		texas-southern	alcorn-state	2015
30	Sat, Mar 7, 2015	6:30 pm/est		REG	@	Prairie View	SWAC	L	80	83		5	25	L 7		prairie-view	alcorn-state	2015
31	Tue, Mar 10, 2015	9:30 pm/est		CTOURN	N	Grambling	SWAC	W	66	52		6	25	W 1		grambling	alcorn-state	2015
32	Wed, Mar 11, 2015	9:30 pm/est		CTOURN	N	Texas Southern	SWAC	L	74	95		6	26	L 1		texas-southern	alcorn-state	2015
1	Fri, Nov 14, 2014	7:30 pm/est	ESPN3.com	REG	@	Temple	AAC	L	37	40		0	1	L 1		temple	american	2015
2	Mon, Nov 17, 2014	7:30 pm/est	Patriot League Network	REG		Saint Francis (PA)	NEC	W	49	46		1	1	W 1		saint-francis-pa	american	2015
3	Fri, Nov 21, 2014	10:35 pm/est		REG	N	Presbyterian	Big South	W	63	38		2	1	W 2		presbyterian	american	2015
4	Sat, Nov 22, 2014	7:00 pm/est		REG	@	Louisiana Tech	CUSA	L	44	63		2	2	L 1		louisiana-tech	american	2015
5	Sun, Nov 23, 2014	1:30 pm/est		REG	N	Morehead State	OVC	W	51	46		3	2	W 1		morehead-state	american	2015
6	Wed, Nov 26, 2014	2:00 pm/est		REG	@	Hampton	MEAC	W	64	60		4	2	W 2		hampton	american	2015
7	Sat, Nov 29, 2014	4:00 pm/est		REG	@	Columbia	Ivy	L	43	52		4	3	L 1		columbia	american	2015
8	Wed, Dec 3, 2014	7:00 pm/est		REG	@	Brown	Ivy	W	66	49		5	3	W 1		brown	american	2015
9	Sat, Dec 6, 2014	2:00 pm/est	ESPN3.com	REG	@	Illinois (24)	Big Ten	L	55	70		5	4	L 1		illinois	american	2015
10	Tue, Dec 16, 2014	7:00 pm/est		REG	@	La Salle	A-10	W	68	66	OT	6	4	W 1		la-salle	american	2015
11	Sat, Dec 20, 2014	1:00 pm/est	CSN-BALT	REG		Mount St. Mary's	NEC	W	46	45		7	4	W 2		mount-st-marys	american	2015
12	Tue, Dec 23, 2014	7:00 pm/est		REG	@	Stony Brook	AEC	L	47	59		7	5	L 1		stony-brook	american	2015
13	Wed, Dec 31, 2014	2:30 pm/est	Patriot League Network	REG	@	Bucknell	Patriot	L	47	57		7	6	L 2		bucknell	american	2015
14	Sat, Jan 3, 2015	1:00 pm/est	Patriot League Network	REG		Holy Cross	Patriot	W	53	49		8	6	W 1		holy-cross	american	2015
15	Wed, Jan 7, 2015	7:30 pm/est	Patriot League Network	REG	@	Loyola (MD)	Patriot	L	53	56	OT	8	7	L 1		loyola-md	american	2015
16	Sat, Jan 10, 2015	4:30 pm/est	CSN+	REG		Colgate	Patriot	W	71	69	2OT	9	7	W 1		colgate	american	2015
17	Wed, Jan 14, 2015	7:30 pm/est	Patriot League Network	REG		Lehigh	Patriot	W	62	59		10	7	W 2		lehigh	american	2015
18	Sat, Jan 17, 2015	2:00 pm/est	Patriot League Network	REG	@	Lafayette	Patriot	W	78	76		11	7	W 3		lafayette	american	2015
19	Wed, Jan 21, 2015	7:00 pm/est	Patriot League Network	REG	@	Boston University	Patriot	L	54	59		11	8	L 1		boston-university	american	2015
20	Mon, Jan 26, 2015	7:00 pm/est	CBSSN	REG		Army	Patriot	L	66	68		11	9	L 2		army	american	2015
21	Wed, Jan 28, 2015	7:00 pm/est	Patriot League Network	REG	@	Navy	Patriot	L	54	64		11	10	L 3		navy	american	2015
22	Mon, Feb 2, 2015	7:30 pm/est	CBSSN	REG	@	Holy Cross	Patriot	W	57	50		12	10	W 1		holy-cross	american	2015
23	Wed, Feb 4, 2015	8:00 pm/est	ASN, MASN2	REG		Loyola (MD)	Patriot	W	64	49		13	10	W 2		loyola-md	american	2015
24	Sat, Feb 7, 2015	2:00 pm/est	Patriot League Network	REG	@	Colgate	Patriot	L	43	59		13	11	L 1		colgate	american	2015
25	Thu, Feb 12, 2015	7:00 pm/est	CBSSN	REG	@	Lehigh	Patriot	L	58	65		13	12	L 2		lehigh	american	2015
26	Sat, Feb 14, 2015	2:00 pm/est	CSN-MA, PLN	REG		Lafayette	Patriot	W	88	77		14	12	W 1		lafayette	american	2015
27	Wed, Feb 18, 2015	7:00 pm/est	CBSSN	REG		Boston University	Patriot	L	53	61		14	13	L 1		boston-university	american	2015
28	Sun, Feb 22, 2015	12:00 pm/est		REG	@	Army	Patriot	L	63	72		14	14	L 2		army	american	2015
29	Wed, Feb 25, 2015	8:00 pm/est	Patriot League Network	REG		Navy	Patriot	W	68	49		15	14	W 1		navy	american	2015
30	Sat, Feb 28, 2015	12:00 pm/est		REG		Bucknell	Patriot	L	69	71		15	15	L 1		bucknell	american	2015
31	Thu, Mar 5, 2015	7:00 pm/est	Patriot League Network	CTOURN	@	Lehigh	Patriot	W	68	62		16	15	W 1		lehigh	american	2015
32	Sun, Mar 8, 2015	4:00 pm/est	CBSSN	CTOURN	@	Colgate	Patriot	W	73	62		17	15	W 2		colgate	american	2015
33	Wed, Mar 11, 2015	7:30 pm/est	CBSSN	CTOURN	@	Lafayette	Patriot	L	63	65		17	16	L 1		lafayette	american	2015
1	Sat, Nov 15, 2014	2:00 pm/est		REG	@	Ohio	MAC	L	47	73		0	1	L 1		ohio	appalachian-state	2015
2	Wed, Nov 19, 2014	7:00 pm/est		REG	@	Furman	Southern	L	65	84		0	2	L 2		furman	appalachian-state	2015
3	Sat, Nov 22, 2014	1:00 pm/est	ESPN3.com	REG	@	Virginia Tech	ACC	W	65	63		1	2	W 1		virginia-tech	appalachian-state	2015
4	Mon, Nov 24, 2014	7:00 pm/est		REG		Hampton	MEAC	W	82	74		2	2	W 2		hampton	appalachian-state	2015
5	Thu, Dec 4, 2014	7:00 pm/est		REG	@	Jacksonville	A-Sun	W	67	56		3	2	W 3		jacksonville	appalachian-state	2015
6	Sun, Dec 7, 2014	2:00 pm/est		REG		Hofstra	CAA	L	51	68		3	3	L 1		hofstra	appalachian-state	2015
7	Mon, Dec 15, 2014	7:00 pm/est	ESPN3.com	REG	@	Georgia Tech	ACC	L	57	70		3	4	L 2		georgia-tech	appalachian-state	2015
8	Thu, Dec 18, 2014	8:00 pm/est	WCCB, ASN, MASN	REG	@	Charlotte	CUSA	L	65	75		3	5	L 3		charlotte	appalachian-state	2015
9	Sun, Dec 21, 2014	6:30 pm/est	SEC Network	REG	@	Alabama	SEC	L	59	60		3	6	L 4		alabama	appalachian-state	2015
10	Sat, Jan 3, 2015	8:05 pm/est		REG	@	Arkansas State	Sun Belt	W	74	73		4	6	W 1		arkansas-state	appalachian-state	2015
11	Mon, Jan 5, 2015	7:30 pm/est		REG		Louisiana-Lafayette	Sun Belt	L	64	80		4	7	L 1		louisiana-lafayette	appalachian-state	2015
12	Thu, Jan 8, 2015	8:30 pm/est		REG	@	South Alabama	Sun Belt	L	95	104		4	8	L 2		south-alabama	appalachian-state	2015
13	Sat, Jan 10, 2015	6:25 pm/est		REG	@	Arkansas-Little Rock	Sun Belt	L	46	64		4	9	L 3		arkansas-little-rock	appalachian-state	2015
14	Thu, Jan 15, 2015	7:30 pm/est		REG		Arkansas State	Sun Belt	L	50	59		4	10	L 4		arkansas-state	appalachian-state	2015
15	Sat, Jan 17, 2015	3:30 pm/est		REG		Georgia State	Sun Belt	W	74	69		5	10	W 1		georgia-state	appalachian-state	2015
16	Mon, Jan 19, 2015	8:30 pm/est		REG	@	Troy	Sun Belt	W	69	64		6	10	W 2		troy	appalachian-state	2015
17	Thu, Jan 22, 2015	7:30 pm/est		REG		South Alabama	Sun Belt	W	64	53		7	10	W 3		south-alabama	appalachian-state	2015
18	Sat, Jan 24, 2015	5:30 pm/est		REG	@	Texas State	Sun Belt	W	64	58		8	10	W 4		texas-state	appalachian-state	2015
19	Thu, Jan 29, 2015	7:30 pm/est		REG	@	Georgia Southern	Sun Belt	L	46	83		8	11	L 1		georgia-southern	appalachian-state	2015
20	Thu, Feb 5, 2015	8:35 pm/est		REG	@	Louisiana-Lafayette	Sun Belt	L	66	81		8	12	L 2		louisiana-lafayette	appalachian-state	2015
21	Sat, Feb 7, 2015	3:30 pm/est		REG		Troy	Sun Belt	W	65	62		9	12	W 1		troy	appalachian-state	2015
22	Thu, Feb 12, 2015	7:30 pm/est		REG		Arkansas-Little Rock	Sun Belt	L	74	79		9	13	L 1		arkansas-little-rock	appalachian-state	2015
23	Sat, Feb 14, 2015	3:25 pm/est		REG	@	Louisiana-Monroe	Sun Belt	L	58	69		9	14	L 2		louisiana-monroe	appalachian-state	2015
24	Thu, Feb 19, 2015	8:25 pm/est		REG	@	Texas-Arlington	Sun Belt	L	68	81		9	15	L 3		texas-arlington	appalachian-state	2015
25	Sat, Feb 21, 2015	2:20 pm/est		REG	@	Georgia State	Sun Belt	L	43	87		9	16	L 4		georgia-state	appalachian-state	2015
26	Thu, Feb 26, 2015	7:30 pm/est		REG		Georgia Southern	Sun Belt	L	58	77		9	17	L 5		georgia-southern	appalachian-state	2015
27	Sat, Feb 28, 2015	3:30 pm/est		REG		Louisiana-Monroe	Sun Belt	W	66	43		10	17	W 1		louisiana-monroe	appalachian-state	2015
28	Thu, Mar 5, 2015	7:30 pm/est		REG		Texas State	Sun Belt	W	67	64		11	17	W 2		texas-state	appalachian-state	2015
29	Sat, Mar 7, 2015	3:30 pm/est		REG		Texas-Arlington	Sun Belt	W	72	60		12	17	W 3		texas-arlington	appalachian-state	2015
1	Fri, Nov 14, 2014	10:00 pm/est	Pac-12 Network	REG		Chicago State	WAC	W	86	50		1	0	W 1		chicago-state	arizona-state	2015
2	Mon, Nov 17, 2014	9:00 pm/est	Pac-12 Network	REG		Bethune-Cookman	MEAC	W	49	39		2	0	W 2		bethune-cookman	arizona-state	2015
3	Thu, Nov 20, 2014	9:00 pm/est	Pac-12 Network	REG		Loyola Marymount	WCC	W	68	44		3	0	W 3		loyola-marymount	arizona-state	2015
4	Mon, Nov 24, 2014	7:00 pm/est	ESPN U	REG	N	Maryland	Big Ten	L	73	78		3	1	L 1		maryland	arizona-state	2015
5	Tue, Nov 25, 2014	7:00 pm/est		REG	N	Alabama	SEC	L	71	76		3	2	L 2		alabama	arizona-state	2015
6	Sat, Nov 29, 2014	9:00 pm/est	Pac-12 Network	REG		Colgate	Patriot	W	78	71		4	2	W 1		colgate	arizona-state	2015
7	Wed, Dec 3, 2014	8:00 pm/est	Pac-12 Network	REG		Nevada-Las Vegas	MWC	W	77	55		5	2	W 2		nevada-las-vegas	arizona-state	2015
8	Sat, Dec 6, 2014	2:00 pm/est	SEC Network	REG	@	Texas A&M	SEC	L	71	72		5	3	L 1		texas-am	arizona-state	2015
9	Sat, Dec 13, 2014	2:00 pm/est	Pac-12 Network	REG		Pepperdine	WCC	W	81	74		6	3	W 1		pepperdine	arizona-state	2015
10	Tue, Dec 16, 2014	9:00 pm/est	FS1	REG	@	Marquette	Big East	L	71	78		6	4	L 1		marquette	arizona-state	2015
11	Sat, Dec 20, 2014	9:00 pm/est	Pac-12 Network	REG		Lehigh	Patriot	L	81	84	3OT	6	5	L 2		lehigh	arizona-state	2015
12	Tue, Dec 23, 2014	3:00 pm/est	Pac-12 Network	REG		Detroit Mercy	Horizon	W	93	54		7	5	W 1		detroit-mercy	arizona-state	2015
13	Sun, Dec 28, 2014	2:00 pm/est	Pac-12 Network	REG		Harvard	Ivy	W	56	46		8	5	W 2		harvard	arizona-state	2015
14	Sun, Jan 4, 2015	7:00 pm/est	FS1	REG	@	Arizona (8)	Pac-12	L	49	73		8	6	L 1		arizona	arizona-state	2015
15	Thu, Jan 8, 2015	9:00 pm/est	FS1	REG	@	Oregon State	Pac-12	L	47	55		8	7	L 2		oregon-state	arizona-state	2015
16	Sat, Jan 10, 2015	5:00 pm/est	Pac-12 Network	REG	@	Oregon	Pac-12	L	56	59		8	8	L 3		oregon	arizona-state	2015
17	Thu, Jan 15, 2015	10:00 pm/est	FS1	REG		Utah (8)	Pac-12	L	59	76		8	9	L 4		utah	arizona-state	2015
18	Sat, Jan 17, 2015	4:30 pm/est	Pac-12 Network	REG		Colorado	Pac-12	W	78	72		9	9	W 1		colorado	arizona-state	2015
19	Thu, Jan 22, 2015	11:00 pm/est	Pac-12 Network	REG	@	University of California	Pac-12	W	79	44		10	9	W 2		california	arizona-state	2015
20	Sat, Jan 24, 2015	11:59 pm/est	ESPN U	REG	@	Stanford	Pac-12	L	70	89		10	10	L 1		stanford	arizona-state	2015
21	Wed, Jan 28, 2015	8:00 pm/est	Pac-12 Network	REG		Oregon State	Pac-12	W	73	55		11	10	W 1		oregon-state	arizona-state	2015
22	Fri, Jan 30, 2015	8:00 pm/est	Pac-12 Network	REG		Oregon	Pac-12	L	67	68	OT	11	11	L 1		oregon	arizona-state	2015
23	Sat, Feb 7, 2015	4:30 pm/est	FOX	REG		Arizona (6)	Pac-12	W	81	78		12	11	W 1		arizona	arizona-state	2015
24	Fri, Feb 13, 2015	11:00 pm/est	Pac-12 Network	REG	@	Washington State	Pac-12	L	71	74		12	12	L 1		washington-state	arizona-state	2015
25	Sun, Feb 15, 2015	5:30 pm/est	Pac-12 Network	REG	@	Washington	Pac-12	W	78	68		13	12	W 1		washington	arizona-state	2015
26	Wed, Feb 18, 2015	9:00 pm/est	ESPN 2	REG		UCLA	Pac-12	W	68	66		14	12	W 2		ucla	arizona-state	2015
27	Sun, Feb 22, 2015	8:30 pm/est	Pac-12 Network	REG		Southern California	Pac-12	W	64	59		15	12	W 3		southern-california	arizona-state	2015
